Model,Accuracy,F1,Precision,Recall,ROC_AUC
AlexNet,0.17996108949416342,0.05489332490753542,0.03238599373192629,0.17996108949416342,0.5013335323549873
VGG,0.22859922178988326,0.13630520184388445,0.12350718351167125,0.22859922178988326,0.7849290961572408
ResNet,0.6517509727626459,0.6380081731954182,0.6503045313452216,0.6517509727626459,0.9695238174307178
EfficientNet,0.6741245136186771,0.6672947487620539,0.6706194603985758,0.6741245136186771,0.9726490399777029
ViT,0.7120622568093385,0.708267514389692,0.7161134786169027,0.7120622568093385,0.9808861644076174
